Time,Value ($),Progress (%)
15:32,2.6,0.02
15:32,2.6,0.02
15:32,2.6,0.02
15:32,2.59,0.42
15:33,2.59,0.42
15:33,2.59,0.42
15:33,2.59,0.42
15:33,2.59,0.28
15:34,2.59,0.28
15:34,2.59,0.28
15:34,2.59,0.28
15:34,2.59,0.43
15:35,2.59,0.43
15:35,2.59,0.43
15:35,2.59,0.43
15:35,2.59,0.38
15:36,2.59,0.38
15:36,2.59,0.38
15:36,2.59,0.38
15:36,2.59,0.1
15:37,2.59,0.1
15:37,2.59,0.1
15:37,2.59,0.1
15:37,2.59,0.23
15:38,2.59,0.23
15:38,2.59,0.23
15:38,2.59,0.23
15:38,2.59,0.11
15:39,2.59,0.11
15:39,2.59,0.11
15:39,2.59,0.11
15:39,2.6,-0.33
15:40,2.6,-0.33
15:40,2.6,-0.33
15:40,2.6,-0.33
15:40,2.6,-0.66
15:41,2.6,-0.66
15:41,2.6,-0.66
15:41,2.6,-0.66
15:41,2.6,-0.62
15:42,2.6,-0.62
15:42,2.6,-0.62
15:42,2.6,-0.62
15:42,2.6,-0.33
15:43,2.6,-0.33
15:43,2.6,-0.33
15:43,2.6,-0.33
15:43,2.6,-0.3
15:44,2.6,-0.3
15:44,2.6,-0.3
15:44,2.6,-0.01
15:44,2.6,-0.01
15:45,2.6,-0.01
15:45,2.6,-0.01
15:45,2.6,0.24
15:46,2.6,0.24
15:46,2.6,0.24
15:46,2.6,0.24
15:46,2.6,0.33
15:47,2.6,0.33
15:47,2.6,0.33
15:47,2.6,0.33
15:47,2.6,0.33
15:48,2.6,0.4
15:48,2.6,0.4
15:48,2.6,0.4
15:48,2.6,0.4
15:49,2.6,0.71
15:49,2.6,0.71
15:49,2.6,0.71
15:49,2.6,0.71
15:50,2.6,0.71
15:50,2.6,0.71
15:50,2.6,0.71
15:50,2.6,0.49
15:51,2.6,0.49
15:51,2.6,0.49
15:51,2.6,0.49
15:51,2.6,0.55
15:52,2.6,0.8
15:52,2.6,0.8
15:52,2.6,0.8
15:52,2.6,0.8
15:53,2.6,0.58
15:53,2.6,0.58
15:53,2.6,0.58
15:53,2.6,0.58
15:54,2.6,0.58
15:54,2.6,0.58
15:54,2.6,0.58
15:54,2.6,0.35
15:55,2.6,0.35
15:55,2.6,0.35
15:55,2.6,0.35
15:55,2.6,0.34
15:56,2.6,0.34
15:56,2.6,0.34
15:56,2.6,0.34
15:56,2.6,0.04
15:57,2.6,0.04
15:57,2.6,0.04
15:57,2.6,0.04
15:57,2.6,-0.12
15:58,2.6,-0.12
15:58,2.6,-0.12
15:58,2.6,-0.38
15:58,2.6,-0.38
15:59,2.6,-0.38
15:59,2.6,-0.38
15:59,2.6,-0.46
16:00,2.6,-0.46
16:00,2.6,-0.46
16:00,2.6,-0.46
16:00,2.6,-0.1
16:01,2.6,-0.1
16:01,2.6,-0.1
16:01,2.6,-0.1
16:01,2.6,-0.1
16:02,2.6,-0.1
16:02,2.6,-0.06
16:02,2.6,-0.06
16:02,2.6,-0.06
16:03,2.6,-0.06
16:03,2.6,0.16
16:03,2.6,0.16
16:03,2.6,-0.49
16:04,2.6,-0.49
16:04,2.6,-0.49
16:04,2.6,-0.49
16:04,2.6,-0.49
16:05,2.6,-0.49
16:05,2.6,-0.52
16:05,2.6,-0.52
16:05,2.6,-0.52
16:06,2.6,-0.52
16:06,2.6,-0.58
16:06,2.6,-0.58
16:06,2.6,-0.58
16:07,2.6,-0.58
16:07,2.6,-0.98
16:07,2.6,-0.98
16:07,2.6,-0.98
16:08,2.6,-0.98
16:08,2.6,-1.56
16:08,2.6,-1.56
16:08,2.6,-1.56
16:09,2.6,-1.56
16:09,2.6,-1.55
16:09,2.6,-1.55
16:09,2.6,-1.55
16:10,2.6,-1.55
16:10,2.6,-1.42
16:10,2.6,-1.42
16:10,2.6,-1.42
16:11,2.6,-1.42
16:11,2.6,-1.74
16:11,2.6,-1.74
16:11,2.6,-1.74
16:12,2.6,-1.74
16:12,2.61,-1.65
16:12,2.61,-1.65
16:12,2.61,-1.65
16:13,2.61,-1.65
16:13,2.61,-1.86
16:13,2.61,-1.86
16:13,2.61,-1.86
16:14,2.61,-1.86
16:14,2.61,-1.95
16:15,2.61,-1.95
16:15,2.61,-1.95
16:15,2.62,-1.95
16:15,2.62,-1.75
16:16,2.62,-1.75
16:16,2.62,-1.75
16:16,2.62,-1.75
16:16,2.62,-1.5
16:17,2.62,-1.5
16:17,2.62,-1.5
16:17,2.62,-1.5
16:17,2.62,-1.67
16:18,2.62,-1.67
16:18,2.62,-1.67
16:18,2.61,-1.67
16:18,2.61,-1.93
16:19,2.61,-1.93
16:19,2.61,-1.93
16:19,2.61,-1.93
16:19,2.61,-1.93
16:20,2.61,-1.93
16:20,2.61,-1.93
16:20,2.61,-2.21
16:20,2.61,-2.21
16:21,2.61,-2.21
16:21,2.61,-2.21
16:21,2.61,-2.31
16:21,2.61,-2.31
16:22,2.61,-2.31
16:22,2.61,-2.31
16:22,2.61,-2.3
16:22,2.61,-2.3
16:23,2.61,-2.3
16:23,2.61,-2.3
16:23,2.6,-2.5
16:24,2.6,-2.5
16:24,2.6,-2.5
16:24,2.6,-2.5
16:24,2.6,-2.1
16:25,2.6,-2.1
16:25,2.6,-2.1
16:25,2.6,-2.1
16:25,2.61,-2.37
16:26,2.61,-2.37
16:26,2.61,-2.37
16:26,2.61,-2.14
16:27,2.61,-2.14
16:27,2.61,-2.14
16:27,2.61,-2.04
16:28,2.61,-2.04
16:28,2.61,-2.04
16:28,2.61,-2.04
16:28,2.61,-1.37
16:29,2.62,-1.37
16:29,2.62,-1.37
16:29,2.62,-1.96
16:30,2.61,-1.96
16:30,2.61,-1.96
16:30,2.61,-1.96
16:30,2.61,-2.19
16:31,2.61,-2.19
16:31,2.61,-2.19
16:31,2.61,-2.19
16:31,2.61,-2.19
16:32,2.61,-2.64
16:32,2.61,-2.64
16:32,2.61,-2.64
16:32,2.61,-2.59
16:33,2.61,-2.59
16:33,2.61,-2.59
16:33,2.61,-2.59
16:33,2.61,-2.45
16:34,2.61,-2.45
16:34,2.61,-2.45
16:34,2.61,-2.45
16:34,2.61,-2.26
16:35,2.61,-2.26
16:35,2.61,-2.26
16:35,2.61,-2.26
16:35,2.61,-2.26
16:36,2.61,-2.24
16:36,2.61,-2.24
16:36,2.61,-2.24
16:36,2.61,-2.24
16:37,2.61,-2.17
16:37,2.61,-2.17
16:37,2.61,-2.17
16:37,2.61,-2.17
16:38,2.61,-2.57
16:38,2.61,-2.57
16:38,2.61,-2.57
16:39,2.61,-2.57
16:39,2.61,-2.47
16:39,2.61,-2.47
16:39,2.61,-2.47
16:40,2.61,-2.47
16:40,2.61,-2.15
16:40,2.61,-2.15
16:40,2.61,-2.15
16:41,2.61,-2.15
16:41,2.6,-2.14
16:41,2.6,-2.14
16:41,2.6,-2.14
16:42,2.6,-2.14
16:42,2.6,-2.49
16:42,2.6,-2.49
16:42,2.6,-2.49
16:43,2.6,-2.49
16:43,2.6,-2.1
16:43,2.6,-2.1
16:43,2.6,-2.1
16:44,2.6,-2.1
16:44,2.6,-2.1
16:44,2.6,-2.1
16:44,2.6,-2.01
16:45,2.6,-2.01
16:45,2.6,-1.9
16:45,2.6,-1.9
16:45,2.6,-1.9
16:46,2.6,-1.9
16:46,2.6,-1.81
16:46,2.6,-1.81
16:46,2.6,-1.81
16:47,2.6,-1.81
16:47,2.6,-1.81
16:47,2.6,-1.81
16:47,2.6,-1.8
16:48,2.6,-1.8
16:48,2.6,-1.8
16:48,2.6,-1.8
16:48,2.6,-1.43
16:49,2.6,-1.43
16:49,2.6,-1.43
16:49,2.6,-1.43
16:49,2.6,-1.43
16:50,2.6,-1.43
16:50,2.6,-1.67
16:50,2.6,-1.67
16:50,2.6,-1.67
16:51,2.6,-1.67
16:51,2.6,-1.71
16:51,2.6,-1.71
16:51,2.6,-2.06
16:52,2.6,-2.06
16:52,2.59,-2.06
16:52,2.59,-2.06
16:52,2.59,-1.76
16:53,2.59,-1.76
16:53,2.6,-1.76
16:53,2.6,-1.76
16:53,2.6,-1.76
16:54,2.6,-1.7
16:54,2.6,-1.7
16:54,2.6,-1.88
16:55,2.6,-1.88
16:55,2.59,-1.88
16:55,2.59,-1.88
16:55,2.59,-1.88
16:56,2.59,-1.88
16:56,2.59,-2.16
16:56,2.59,-2.16
16:56,2.59,-2.16
16:57,2.59,-2.16
16:57,2.59,-1.46
16:57,2.59,-1.46
16:57,2.59,-1.46
16:58,2.59,-1.46
16:58,2.59,-1.54
16:58,2.59,-1.54
16:58,2.59,-1.54
16:59,2.59,-1.54
16:59,2.59,-1.78
16:59,2.59,-1.78
16:59,2.59,-1.78
17:00,2.59,-1.78
17:00,2.59,-1.78
17:00,2.59,-1.78
17:00,2.59,-1.77
17:01,2.59,-1.77
17:01,2.59,-1.77
17:01,2.59,-1.77
17:01,2.59,-1.91
17:02,2.59,-1.91
17:02,2.59,-1.91
17:02,2.59,-1.91
17:02,2.59,-2.66
17:03,2.59,-2.66
17:03,2.58,-2.66
17:03,2.58,-3.21
17:03,2.58,-3.21
17:04,2.58,-3.21
17:04,2.59,-3.21
17:04,2.59,-3.21
17:04,2.59,-3.21
17:05,2.59,-3.21
17:05,2.58,-2.49
17:05,2.58,-1.91
17:06,2.58,-1.91
17:06,2.58,-1.91
17:06,2.59,-1.91
17:06,2.59,-1.83
17:07,2.59,-1.83
17:07,2.59,-1.83
17:07,2.59,-1.83
